InChIKey,odorant,Or10a,Or19a,Or22a,Or23a,Or2a,Or33b,Or35a,Or43a,Or43b,Or47a,Or47b,Or49b,Or59b,Or65a,Or67a,Or67c,Or7a,Or82a,Or85a,Or85b,Or85f,Or88a,Or98a,Or9a
KBEBGUQPQBELIU-CMDGGOBGSA-N,ethyl cinnamate,7.0,8.0,16.0,8.0,4.0,28.0,7.0,2.0,4.0,0.0,46.0,11.0,0.0,20.0,86.0,5.0,11.0,15.0,7.0,48.0,-4.0,30.0,19.0,1.0
QWVGKYWNOKOFNN-UHFFFAOYSA-N,2-methylphenol,-3.0,13.0,13.0,1.0,-3.0,9.0,5.0,98.0,37.0,-10.0,20.0,258.0,-5.0,0.0,68.0,8.0,-10.0,2.0,0.0,40.0,38.0,12.0,-9.0,39.0
CHWNEIVBYREQRF-UHFFFAOYSA-N,4-ethylguaiacol,16.0,19.0,11.0,0.0,7.0,22.0,14.0,16.0,5.0,-1.0,42.0,6.0,8.0,10.0,15.0,37.0,7.0,9.0,8.0,52.0,21.0,25.0,13.0,17.0
RRAFCDWBNXTKKO-UHFFFAOYSA-N,eugenol,78.0,13.0,11.0,10.0,12.0,19.0,10.0,7.0,12.0,1.0,43.0,2.0,23.0,11.0,18.0,3.0,7.0,15.0,10.0,47.0,19.0,23.0,62.0,13.0
OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,19.0,13.0,59.0,6.0,18.0,60.0,55.0,19.0,16.0,14.0,26.0,17.0,20.0,21.0,14.0,26.0,39.0,19.0,28.0,30.0,13.0,18.0,17.0,28.0
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,26.0,17.0,59.0,15.0,12.0,61.0,51.0,14.0,15.0,10.0,25.0,9.0,15.0,20.0,15.0,32.0,50.0,32.0,31.0,40.0,9.0,14.0,15.0,24.0
BDERNNFJNOPAEC-UHFFFAOYSA-N,1-propanol,10.0,39.0,62.0,14.0,41.0,52.0,72.0,8.0,35.0,17.0,29.0,9.0,14.0,13.0,27.0,54.0,197.0,33.0,14.0,60.0,29.0,20.0,3.0,55.0
LRHPLDYGYMQRHN-UHFFFAOYSA-N,1-butanol,9.0,78.0,124.0,50.0,53.0,64.0,216.0,20.0,75.0,25.0,22.0,34.0,46.0,16.0,76.0,78.0,212.0,54.0,16.0,57.0,35.0,26.0,5.0,106.0
AMQJEAYHLZJPGS-UHFFFAOYSA-N,1-pentanol,25.0,113.0,183.0,82.0,43.0,67.0,205.0,98.0,111.0,63.0,16.0,52.0,57.0,19.0,159.0,132.0,183.0,71.0,61.0,182.0,63.0,34.0,87.0,163.0
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,1-hexanol,24.0,175.0,67.0,60.0,48.0,26.0,254.0,154.0,75.0,59.0,12.0,39.0,37.0,25.0,184.0,115.0,113.0,74.0,151.0,196.0,71.0,42.0,170.0,105.0
KBPLFHHGFOOTCA-UHFFFAOYSA-N,1-octanol,-4.0,121.0,57.0,10.0,9.0,28.0,239.0,8.0,30.0,8.0,15.0,2.0,-5.0,14.0,55.0,17.0,-1.0,51.0,18.0,69.0,17.0,6.0,36.0,23.0
JYVLIDXNZAXMDK-UHFFFAOYSA-N,2-pentanol,31.0,103.0,117.0,50.0,46.0,70.0,179.0,117.0,170.0,78.0,14.0,40.0,41.0,26.0,44.0,104.0,95.0,76.0,59.0,157.0,65.0,31.0,93.0,230.0
PHTQWCKDNZKARW-UHFFFAOYSA-N,3-methyl-butanol,8.0,107.0,108.0,42.0,38.0,58.0,239.0,75.0,51.0,25.0,14.0,28.0,27.0,17.0,78.0,87.0,174.0,74.0,-1.0,37.0,48.0,30.0,26.0,100.0
ASUAYTHWZCLXAN-UHFFFAOYSA-N,3-methyl-2-buten-1-ol,9.0,87.0,105.0,34.0,44.0,66.0,193.0,51.0,55.0,20.0,22.0,43.0,28.0,22.0,226.0,101.0,213.0,58.0,25.0,38.0,44.0,33.0,206.0,62.0
VHVMXWZXFBOANQ-UHFFFAOYSA-N,1-penten-3-ol,7.0,93.0,62.0,38.0,42.0,69.0,54.0,79.0,105.0,40.0,12.0,40.0,41.0,17.0,19.0,115.0,141.0,61.0,34.0,34.0,47.0,20.0,6.0,212.0
VSMOENVRRABVKN-UHFFFAOYSA-N,1-octen-3-ol,8.0,178.0,125.0,28.0,35.0,8.0,158.0,121.0,46.0,91.0,17.0,23.0,17.0,34.0,175.0,30.0,26.0,50.0,54.0,193.0,38.0,10.0,209.0,57.0
ZCHHRLHTBGRGOT-SNAWJCMRSA-N,E2-hexenol,6.0,108.0,91.0,50.0,43.0,46.0,240.0,53.0,91.0,32.0,14.0,49.0,22.0,22.0,120.0,148.0,197.0,32.0,82.0,267.0,70.0,18.0,226.0,113.0
ZCHHRLHTBGRGOT-PLNGDYQASA-N,Z2-hexenol,-1.0,114.0,115.0,64.0,42.0,46.0,219.0,97.0,175.0,31.0,13.0,28.0,28.0,12.0,116.0,105.0,168.0,53.0,23.0,162.0,57.0,14.0,104.0,91.0
UFLHIIWVXFIJGU-ONEGZZNKSA-N,E3-hexenol,27.0,103.0,86.0,49.0,53.0,54.0,230.0,65.0,57.0,29.0,13.0,37.0,34.0,25.0,171.0,108.0,171.0,50.0,163.0,254.0,78.0,9.0,149.0,201.0
UFLHIIWVXFIJGU-ARJAWSKDSA-N,Z3-hexenol,9.0,113.0,85.0,45.0,37.0,55.0,221.0,119.0,81.0,53.0,18.0,45.0,44.0,12.0,127.0,117.0,167.0,50.0,101.0,208.0,62.0,10.0,150.0,157.0
PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,6.0,8.0,8.0,2.0,10.0,40.0,13.0,3.0,7.0,3.0,46.0,8.0,-2.0,15.0,9.0,5.0,15.0,12.0,15.0,12.0,9.0,34.0,10.0,11.0
OWBTYPJTUOEWEK-UHFFFAOYSA-N,"2,3-butanediol",9.0,10.0,54.0,5.0,14.0,61.0,21.0,10.0,112.0,3.0,36.0,3.0,12.0,12.0,24.0,41.0,2.0,40.0,27.0,29.0,16.0,26.0,20.0,250.0
KXKVLQRXCPHEJC-UHFFFAOYSA-N,methyl acetate,23.0,16.0,58.0,11.0,13.0,40.0,11.0,9.0,24.0,26.0,26.0,3.0,271.0,15.0,18.0,13.0,11.0,31.0,4.0,42.0,19.0,40.0,16.0,27.0
XEKOWRVHYACXOJ-UHFFFAOYSA-N,ethyl acetate,20.0,36.0,57.0,11.0,5.0,35.0,35.0,29.0,134.0,87.0,40.0,23.0,179.0,18.0,54.0,35.0,23.0,33.0,79.0,31.0,19.0,31.0,35.0,40.0
YKYONYBAUNKHLG-UHFFFAOYSA-N,propyl acetate,81.0,28.0,202.0,21.0,39.0,38.0,119.0,33.0,176.0,215.0,13.0,19.0,68.0,20.0,86.0,69.0,13.0,31.0,1.0,176.0,55.0,37.0,166.0,164.0
DKPFZGUDAPQIHT-UHFFFAOYSA-N,butyl acetate,142.0,60.0,216.0,38.0,59.0,37.0,80.0,41.0,140.0,206.0,9.0,27.0,50.0,41.0,175.0,51.0,-2.0,52.0,3.0,262.0,63.0,26.0,239.0,154.0
PGMYKACGEOXYJE-UHFFFAOYSA-N,pentyl acetate,13.0,159.0,162.0,29.0,43.0,13.0,208.0,33.0,91.0,242.0,23.0,16.0,67.0,52.0,227.0,23.0,13.0,37.0,44.0,203.0,42.0,35.0,203.0,88.0
AOGQPLXWSUTHQB-UHFFFAOYSA-N,hexyl acetate,-5.0,79.0,176.0,11.0,37.0,36.0,223.0,18.0,18.0,202.0,10.0,5.0,41.0,60.0,61.0,8.0,-2.0,40.0,5.0,47.0,9.0,29.0,90.0,47.0
GJRQTCIYDGXPES-UHFFFAOYSA-N,isobutyl acetate,226.0,77.0,255.0,18.0,39.0,40.0,43.0,46.0,179.0,184.0,19.0,5.0,46.0,22.0,42.0,79.0,55.0,45.0,-9.0,146.0,46.0,33.0,220.0,175.0
MLFHJEHSLIIPHL-UHFFFAOYSA-N,isopentyl acetate,222.0,110.0,236.0,30.0,73.0,31.0,39.0,38.0,98.0,123.0,9.0,19.0,48.0,28.0,140.0,54.0,-16.0,55.0,-2.0,244.0,34.0,25.0,260.0,142.0
HRHOWZHRCRZVCU-WAYWQWQTSA-N,E2-hexenyl acetate,10.0,66.0,198.0,13.0,30.0,38.0,244.0,4.0,9.0,60.0,15.0,14.0,47.0,54.0,84.0,18.0,221.0,44.0,14.0,60.0,18.0,24.0,215.0,33.0
UUIQMZJEGPQKFD-UHFFFAOYSA-N,methyl butyrate,57.0,23.0,224.0,11.0,33.0,44.0,119.0,31.0,176.0,149.0,22.0,28.0,138.0,21.0,126.0,81.0,16.0,41.0,17.0,91.0,37.0,34.0,81.0,146.0
OBNCKNCVKJNDBV-UHFFFAOYSA-N,ethyl butyrate,43.0,102.0,197.0,24.0,20.0,62.0,138.0,43.0,201.0,75.0,31.0,5.0,41.0,10.0,178.0,118.0,18.0,43.0,139.0,115.0,33.0,17.0,93.0,124.0
XAPCMTMQBXLDBB-UHFFFAOYSA-N,hexyl butyrate,13.0,35.0,43.0,10.0,12.0,29.0,242.0,13.0,9.0,18.0,30.0,8.0,4.0,26.0,73.0,12.0,13.0,26.0,54.0,110.0,8.0,19.0,40.0,5.0
